System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.50(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.37(Debug=False)

Messages
4/23/2020 4:21:08 PM   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.HMI Station Data" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD LGO 1" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD LGO 2" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD LGO 3" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD ALO 1" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD ALO 2" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD ALO 3" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD ALO 4" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD ALO 5" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD ALO 6" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD ALO 7" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD In" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD AP ALO 1" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD AP ALO 2" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD AP LGO 2" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD AP ALO 3" is not supported! | TIAParser.CreateItemInfo() | 
4/23/2020 4:21:09 PM   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.HMI.Prozessdaten kopieren.PD AP ALO 4" is not supported! | TIAParser.CreateItemInfo() | 
